,OBJECTID,GIS_ID,NAME,ALPHA_CODE,PARK_CODE,LOCATION,AQUIRED,TRANS_DC,SOURCE,RESERVE,LABEL,Shape_Length,Shape_Area,SQUARE,SUFFIX,LOT,SSL,PAR,Zip Code
29,30,Nps_231,Triangle,NACC,876.0,"New York Ave., Between 1st & M Sts., NW",1,,NPS,181,,211.535581390727,1911.10990187483,0000,,0.0,RES 01810000,,20001
30,31,Nps_239,Triangle,NACC,876.0,"New York Ave., Between 1st & M Sts., NW",1,,NPS,181,,48.221302243047,62.4792550801147,0000,,0.0,RES 01810000,,20001
31,32,Nps_222,Triangle,NACC,876.0,"New York Ave. & N St., West Of North Capitol St. NW",1,,NPS,182,,37.049534294840996,47.113043508123795,0000,,0.0,RES 01820000,,20001
32,33,Nps_224,Triangle,NACC,876.0,"New York Ave. & N St., West Of North Capitol St. NW",1,,NPS,182,,21.7284806239122,31.865017688894,0000,,0.0,RES 01820000,,20001
33,34,Nps_219,Triangle,NACC,876.0,"New York Ave., Between North Capitol St. & N st.,",1,,NPS,183,,28.5603820314363,34.936604087515605,0000,,0.0,RES 01830000,,20002
34,35,Nps_216,Triangle,NACC,876.0,"New York Ave., Between North Capitol St. & N St.,",1,,NPS,183,,25.4037837727147,43.252393306682904,0000,,0.0,RES 01830000,,20002
35,36,Nps_199,Potomac Palisades Parkway,ROCR,847.0,"Key Bridge To DC Line, NW","5, 6, 7, 8, 9",,NPS,404,,438.115961014869,10399.6983050214,1361,,805.0,1361    0805,,
36,37,Nps_169,Triangle,NACC,876.0,"Vermont Ave., Between 10th & T Sts., NW",1,,NPS,169,,44.247855056721,109.21548988244301,0000,,0.0,RES 01690000,,20001
37,38,Nps_168,Triangle,NACC,876.0,"Vermont Ave., Between 10th & T Sts., NW",1,,NPS,169,,65.7927519623343,176.65705417027002,0000,,0.0,RES 01690000,,20001
38,39,Nps_162,Triangle,NACC,876.0,"Vermont Ave., Between 10th & U Sts., NW",1,,NPS,170,,139.26902371148898,1146.4553588994302,0000,,0.0,RES 01700000,,20001
39,40,Nps_164,Triangle,NACC,876.0,"Vermont Ave., Between 10th & U Sts., NW",1,,NPS,170,,94.74025826402278,320.982423791662,0000,,0.0,RES 01700000,,20001
40,41,Nps_150,Center Parking,ROCR,878.0,"Connecticut Ave. & Belmont Rd., NW",8,,NPS,303A &,,121.020213269804,882.660245159256,0000,,0.0,RES 303A0000,,20009
41,42,Nps_146,Potomac Palisades Parkway,ROCR,847.0,"Key Bridge To DC Line, NW","5, 6, 7, 8, 9",,NPS,404,,638.670226019083,11644.953346823,1388,E,805.0,1388E   0805,,
42,43,Nps_144,Normanstone Parkway,ROCR,857.0,"Massachusetts Ave., Between Garfield & Normanstone Dr., NW","6, 8",,NPS,514,Normanstone Parkway,627.475034121544,6568.240723406961,0000,,0.0,RES 05140000,,20005
43,44,Nps_139,"6, 8",ROCR,857.0,"Massachusetts Ave., Between Garfield & Normanstone Dr., NW","6, 8",,NPS,514,,2253.82401900112,99458.2018007825,,,,RES 05140000,,20005
44,45,Nps_539, , ,0.0, , ,,NPS, ,,1258.30308153977,58581.1452111801,0000,,0.0,RES 04210000,,
45,46,Nps_134,Glover Parkway & Children's Playground,ROCR,836.0,"44th & U Sts., NW","6, 7, 8, 10",,NPS,351,Glover Parkway & Children's Playground,2769.8785034607,247811.17361128397,,,,RES 03510000,,20007
46,47,Nps_136,Glover Parkway & Children's Playground,ROCR,836.0,"42nd & U Sts., NW","6, 7, 8, 10",,NPS,351A,Glover Parkway & Children's Playground,2417.4351321205,128838.715907113,,,,RES 0351A000,,98671
47,48,Nps_037,Fort Circle Park,ROCR,832.0,"Fort Stevens Park To Fort Slocum Park, NW","6, 8",,NPS,494,Fort Circle Park,84.9861830473818,274.802863786238,MULTI-SQUARES & PARCELS,,0.0,RES 04940000,,
48,49,Nps_383,Fort Chaplin Park,NACE,881.0,"South Of East Capitol St., Between Chaplin St. & T St.",6,,NPS,609,Fort Chaplin Park,1528.7793247418301,118023.521426009,"5404,5406",,0.0,RES 06090000,,20003
49,50,Nps_407,Fort Circle Park,NACE,832.0,"Fort Mahan Park To Fort Dupont Park, SE",6,,NPS,500,Fort Circle Park,137.974440896084,866.89102320178,5397,,800.0,5397    0800,,20019
50,51,Nps_367,Triangle,NACE,893.0,"42nd & Blaine St., NE",10,,NPS,718A,,117.630502130972,536.684690537904,5086,,0.0,RES 718A0000,,20019
51,52,Nps_370,Triangle,NACE,893.0,"Benning Rd. & Blaine St., NE", 10,,NPS,718,,75.2976275225156,210.91710184059,5086,,0.0,RES 07180000,,20019
52,53,Nps_472,Fort Circle Park,NACE,832.0,"Fort Dupont To Fort Stanton Park, SE","6, 8",,NPS,518,Fort Circle Park,2839.89436289753,198717.834059492,0000,,0.0,RES 404M0000,,
53,54,Nps_466,Triangle,NACE,892.0,"Pennsylvania Ave., Between O & 28th Sts., SE",8,,NPS,336A,,225.32760854727798,1873.43172406263,5551,,0.0,RES 336A0000,,20020
54,55,Nps_476,Triangle,NACE,878.0,"Water St., Between Half & T Sts., SW",1,,NPS,296,,194.549791433195,1145.06392779765,0000,,0.0,RES 02960000,,20024
55,56,Nps_449,Triangle,NACE,875.0,"Virgina Ave., Between West Side Of 7th & K sts., SE",1,,NPS,124,,219.747107099164,988.7165457570098,0000,,0.0,RES 01240000,,20003
