name,loc_type,street,City,State,Zip
Asmarina Market,Grocery Stores,3825 S George Mason Dr,Falls Church,VA,
Trader Joe's,Grocery Stores,5847 Leesburg Pike,Falls Church,VA,
Uptown Market Inc,Convenience Stores,2801 Park Center Dr,Alexandria,VA,22302
Griffin Market,Grocery Stores,2500 N Van Dorn St Ste 100,Alexandria,VA,22302
Heidelberg Pastry Shoppe,Food Products,2150 N Culpeper St,Arlington,VA,22207
India A1 Grocery,Spices,4815 Lee Hwy,Arlington,VA,22207
MOM's Organic Market,Health & Wellness Products,1901 N Veitch St,Arlington,VA,22201
Sheetz,Convenience Stores,405 George Washington Mem Pkwy,Arlington,VA,22202
7-Eleven,Convenience Stores,1500 S Fern St,Arlington,VA,22202
River Place Market,Grocers-Ethnic Foods,1117 Arlington Blvd,Arlington,VA,22209
Italian Store,Grocery Stores,5839 Washington Blvd,Arlington,VA,22205
Lidl US,Grocery Stores,3500 S Clark Pl,Arlington,VA,22202
Fabrique Delices,Food Products-Wholesale,2000 N Inglewood St # 7th,Arlington,VA,22205
RAJA BAZAAR,Convenience Stores,5135 Lee Highway,Arlington,VA,22207
Market Basket,Grocery Stores,1669 Crystal Square Arc,Arlington,VA,22202
Asia Halal Supermarket,Grocery Stores,5171 Lee Hwy,Arlington,VA,22207
Food Map Inc,Grocery Stores,2450 Crystal Dr,Arlington,VA,22202
Lidl,Grocery Stores,3500 S Clark St,Arlington,VA,22202
Beat Mart,Grocery Stores,5903 Lee Hwy,Arlington,VA,22207
88 Market,Grocery Stores,6035 Leesburg Pike,Falls Church,VA,
Lacey Grocery,Grocery Stores,3716 Lacy Blvd,Falls Church,VA,
Lacy Variety,Grocery Stores,3716 Lacy Blvd,Falls Church,VA,
Delivery Groceries Hercules,Grocery Stores,6030 Vista Dr,Falls Church,VA,
Mercadito Ramos,Grocery Stores,4102 Mount Vernon Ave,Alexandria,VA,22305
MOM's Organic Market,Grocery Stores,3831 Mount Vernon Ave,Alexandria,VA,22305
Phuoc Hoa Market,Convenience Stores,2930 Patrick Henry Dr,Falls Church,VA,
Global Food Of Alexandria Inc,Grocery Stores,1476 N Beauregard St,Alexandria,VA,22311
Good Fortune Supermarket,Grocery Stores,6751 Wilson Blvd,Falls Church,VA,
Health Direct Lc,Grocery Stores,6333 Beachway Dr,Falls Church,VA,
