MLS #,Cat,Status,Address,City,County,Zip,Beds,Baths,Structure Type,Status Contractual Search Date,List Office Name,Current Price
1002915990,RES,CLS,1726 E St NE,Washington,"Washington, DC",20002,2,Feb-00,Row/Townhouse,5/6/14,Keller Williams Realty Falls Church (KWR30),"$452,000 "
1002916096,RES,CLS,524 12th St NE,Washington,"Washington, DC",20002,3,1-Feb,Row/Townhouse,5/5/14,"City Houses, LLC (CHS1)","$733,105 "
1002917386,RES,CLS,601 21st St NE,Washington,"Washington, DC",20002,4,Feb-00,Row/Townhouse,5/9/14,Coldwell Banker Residential Brokerage (CBRB52),"$511,000 "
1002917952,RES,CLS,730 11th St NE #103,Washington,"Washington, DC",20002,2,Feb-00,Unit/Flat/Apartment,5/8/14,RE/MAX Allegiance (RMAX20),"$411,000 "
1002918354,RES,CLS,530 12th St NE,Washington,"Washington, DC",20002,3,Mar-00,Twin/Semi-Detached,5/22/14,"Long & Foster Real Estate, Inc. (LNG83)","$915,000 "
1002918532,RES,CLS,901 D St NE #202,Washington,"Washington, DC",20002,1,1-Jan,Unit/Flat/Apartment,7/9/14,McWilliams/Ballard Inc. (MCWB1),"$679,000 "
1002918906,RES,CLS,1301 Trinidad Ave NE,Washington,"Washington, DC",20002,3,1-Mar,End of Row/Townhouse,5/9/14,"W.C. & A.N. Miller, Realtors, A Long & Foster Co. (MIL6)","$425,000 "
1002919278,RES,CLS,1824 North Capitol St NW #1,Washington,"Washington, DC",20002,2,Feb-00,Unit/Flat/Apartment,8/1/14,"Long & Foster Real Estate, Inc. (LNG196)","$465,000 "
1002919902,RES,CLS,1109 16th St NE,Washington,"Washington, DC",20002,3,1-Jan,End of Row/Townhouse,8/15/14,Assist-2-Sell Capital Realty (ASTL1),"$246,000 "
1002920254,RES,CLS,605 Acker Pl NE,Washington,"Washington, DC",20002,3,1-Feb,Row/Townhouse,5/23/14,"Long & Foster Real Estate, Inc. (LNG183)","$730,000 "
