Zip Code,MLS #,Cat,Status,Address,City,County,Beds,Structure Type,Status Contractual Search Date,List Office Name,Current Price
20020,DCDC425114,RES,CLS,2009 37th St SE #201,Washington,"Washington, DC",2,Unit/Flat/Apartment,6/28/19,Exit Community Realty (EER1),"$130,000 "
20020,DCDC423662,RES,CLS,1822 41st Pl SE,Washington,"Washington, DC",4,Detached,8/16/19,RLAH Real Estate (RLAH4),"$459,900 "
20020,DCDC424320,RES,CLS,3370 Erie St SE,Washington,"Washington, DC",5,Detached,6/14/19,RLAH Real Estate (RLAH2),"$535,000 "
20020,DCDC424650,RES,CLS,2850 Hartford St SE #301,Washington,"Washington, DC",2,Unit/Flat/Apartment,6/14/19,RE/MAX Excellence Realty (RXER1),"$116,000 "
20020,DCDC424668,RES,CLS,1262 Talbert St SE #7A,Washington,"Washington, DC",3,Unit/Flat/Apartment,5/1/19,Senate Realty (SENR1),"$326,000 "
20020,DCDC424646,RES,CLS,1262 Talbert St SE #14B,Washington,"Washington, DC",3,Unit/Flat/Apartment,5/3/19,Senate Realty (SENR1),"$326,000 "
20020,DCDC424334,RES,CLS,1885 Alabama Ave SE,Washington,"Washington, DC",3,Twin/Semi-Detached,6/30/19,Senate Realty (SENR1),"$240,000 "
20020,DCDC423960,RES,CLS,2023 34th St SE,Washington,"Washington, DC",4,Detached,6/25/19,RE/MAX Excellence Realty (RXER1),"$520,000 "
20020,DCDC423572,RES,CLS,1335 Maple View Pl SE,Washington,"Washington, DC",7,Detached,7/31/19,KW Metro Center (KWR17),"$475,000 "
20020,DCDC423956,RES,CLS,2815 Hillcrest Dr SE,Washington,"Washington, DC",4,Detached,5/24/19,Compass (COMPS2),"$580,000 "
20020,DCDC403532,RES,CLS,1608 16th St SE,Washington,"Washington, DC",4,Row/Townhouse,7/2/19,Keller Williams Preferred Properties (KWPP1),"$534,900 "
20020,DCDC423136,RES,CLS,1736 40th St SE,Washington,"Washington, DC",3,Twin/Semi-Detached,7/18/19,SRG Platinum Real Estate (SOUR2),"$379,000 "
20020,DCDC423360,RES,CLS,1514 U St SE,Washington,"Washington, DC",3,Detached,5/23/19,RE/MAX Allegiance (RMAX34),"$556,000 "
20020,DCDC423372,RES,CLS,1313 Dexter Ter SE,Washington,"Washington, DC",2,Row/Townhouse,7/26/19,Nexttier Realty LLC (NEXR1),"$306,000 "
20020,DCDC423286,RES,CLS,2500 Sayles Pl SE #6,Washington,"Washington, DC",2,Unit/Flat/Apartment,6/6/19,RLAH Real Estate (RLAH4),"$395,000 "
20020,DCDC422986,RES,CLS,2510 Elvans Rd SE,Washington,"Washington, DC",4,Twin/Semi-Detached,6/17/19,KW Metro Center (KWR9),"$490,000 "
20020,DCDC422504,RES,CLS,1630 28th St SE,Washington,"Washington, DC",5,Detached,5/20/19,Capital Area Realtors of DC (CPRZ1),"$447,000 "
20020,DCDC422578,RES,CLS,1923 S St SE,Washington,"Washington, DC",3,End of Row/Townhouse,5/21/19,Redfin Corp (REFC3),"$370,250 "
20020,DCDC404834,RES,CLS,1518 Fort Davis Pl SE,Washington,"Washington, DC",3,Row/Townhouse,5/29/19,Keller Williams Preferred Properties (KWPP1),"$320,000 "
20020,DCDC421924,RES,CLS,1412 Bangor St SE,Washington,"Washington, DC",2,Row/Townhouse,6/20/19,Century 21 New Millennium (CENT2032),"$300,000 "
20020,DCDC422232,RES,CLS,1323 Valley Pl SE,Washington,"Washington, DC",4,Row/Townhouse,6/14/19,United Real Estate HomeSource (RECU1),"$500,000 "
20020,DCDC422276,RES,CLS,1816 Bruce Pl SE,Washington,"Washington, DC",4,End of Row/Townhouse,6/4/19,KW Metro Center (KWR19),"$395,000 "
20020,DCDC422028,RES,CLS,2319 Q St SE,Washington,"Washington, DC",3,Detached,5/13/19,Keller Williams Realty (KWR21),"$386,000 "
20020,DCDC421764,RES,CLS,1719 Gainesville St SE #102,Washington,"Washington, DC",2,Unit/Flat/Apartment,6/28/19,"Spring Hill Real Estate, LLC. (SHIL1)","$140,000 "
