Zip Code,MLS #,Cat,Status,Address,City,County,Beds,Structure Type,Status Contractual Search Date,List Office Name,Current Price
22202,1004119468,RES,CLS,3600 Glebe Rd #321W,Arlington,"Arlington, VA",2,Unit/Flat/Apartment,9/28/12,"'Weichert, REALTORS (WEI64)","$435,000 "
22202,1003820170,RES,CLS,1211 Eads St #409,Arlington,"Arlington, VA",1,Unit/Flat/Apartment,11/14/18,"Long & Foster Real Estate, Inc. (LNG44)","$379,000 "
22202,1003796928,RES,CLS,1400 21st St S,Arlington,"Arlington, VA",5,Detached,11/14/18,Berkshire Hathaway HomeServices PenFed Realty (PFED6),"$1,135,000 "
22202,1003709176,RES,CLS,1100 21st St S,Arlington,"Arlington, VA",3,Detached,10/17/13,Keller Williams Realty (KWR21),"$1,050,000 "
22202,1003521202,RES,CLS,3600 Glebe Rd #326W,Arlington,"Arlington, VA",1,Unit/Flat/Apartment,6/5/13,"'Weichert, REALTORS (WEI64)","$329,900 "
22202,1003231136,RES,CLS,3650 Glebe Rd S #239,Arlington,"Arlington, VA",2,Unit/Flat/Apartment,1/23/15,"'Weichert, REALTORS (WEI64)","$469,900 "
22202,1002750578,RES,CLS,3600 Glebe Rd S #235W,Arlington,"Arlington, VA",1,Unit/Flat/Apartment,6/24/16,"'Weichert, REALTORS (WEI64)","$335,000 "
22202,1002746492,RES,CLS,3650 Glebe Rd #248,Arlington,"Arlington, VA",1,Unit/Flat/Apartment,4/8/16,"'Weichert, REALTORS (WEI64)","$325,000 "
22202,1002627728,RES,CLS,3600 Glebe Rd #331W,Arlington,"Arlington, VA",1,Unit/Flat/Apartment,7/20/15,"'Weichert, REALTORS (WEI64)","$347,000 "
22202,1002616052,RES,CLS,2309 Queen St S,Arlington,"Arlington, VA",4,End of Row/Townhouse,12/21/18,"Washington Fine Properties, LLC (WFP1)","$1,024,000 "
22202,1002591818,RES,CLS,3650 Glebe Rd S #452,Arlington,"Arlington, VA",2,Unit/Flat/Apartment,8/21/15,"'Weichert, REALTORS (WEI64)","$421,450 "
22202,1002589678,RES,CLS,1101 Arlington Ridge Rd #508,Arlington,"Arlington, VA",2,Unit/Flat/Apartment,12/20/18,Redfin Corporation (REFC1),"$532,000 "
22202,1002571794,RES,CLS,3600 Glebe Rd #525W,Arlington,"Arlington, VA",1,Unit/Flat/Apartment,5/11/15,"'Weichert, REALTORS (WEI64)","$340,000 "
22202,1002556384,RES,CLS,1037 26th Rd S,Arlington,"Arlington, VA",4,Detached,6/12/15,Keller Williams Realty (KWR17),"$985,000 "
22202,1002549906,RES,CLS,3650 Glebe Rd S #438,Arlington,"Arlington, VA",2,Unit/Flat/Apartment,6/24/15,"'Weichert, REALTORS (WEI64)","$480,000 "
22202,1002541952,RES,CLS,1200 Arlington Ridge Rd #610,Arlington,"Arlington, VA",0,Unit/Flat/Apartment,10/17/18,"McEnearney Associates, Inc. (MCE6)","$175,000 "
22202,1002366120,RES,CLS,608 29th Rd S,Arlington,"Arlington, VA",4,Detached,11/27/18,Wydler Brothers VA01 LLC (WYD2),"$691,000 "
22202,1002366086,RES,CLS,2630 Lynn St,Arlington,"Arlington, VA",4,Detached,10/19/18,"Goldsmith & Banks Realty, Inc. (GDSM1)","$725,000 "
22202,1002365982,RES,CLS,3600 Glebe Rd #426W,Arlington,"Arlington, VA",1,Unit/Flat/Apartment,8/21/17,"'Weichert, REALTORS (WEI64)","$340,000 "
22202,1002363130,RES,CLS,3600 Glebe Rd #602W,Arlington,"Arlington, VA",0,Unit/Flat/Apartment,8/11/17,"'Weichert, REALTORS (WEI64)","$249,900 "
22202,1002362158,RES,CLS,3600 Glebe Rd #425W,Arlington,"Arlington, VA",1,Unit/Flat/Apartment,6/16/17,"'Weichert, REALTORS (WEI64)","$340,000 "
22202,1002361902,RES,CLS,3600 Glebe Rd S #1119W,Arlington,"Arlington, VA",3,Unit/Flat/Apartment,7/5/17,"'Weichert, REALTORS (WEI64)","$790,000 "
